pat,n,tau,fmi,emi,jmi
2,64,0.4,0.172618806339577 0.101270876565967 0.0137172342522573,0.2897783686209 0.104764404162348 0.0143597053758185,0.36776935672768 0.150445757257174 0.0396440148321489
2,64,0.5,0.316436765133348 0.123817077624673 0.0193878884712959,0.444448659208817 0.126579324119016 0.0200924623025705,0.526307439494457 0.166225718678946 0.0504144068384994
2,64,0.6,0.47379123020387 0.135605141742916 0.0216184245469022,0.613242933497445 0.138090049462373 0.0260959865181944,0.712662276521571 0.178388516120759 0.0543942943996936
2,64,0.7,0.735826711117961 0.139047979926269 0.0235550598398404,0.886559564375844 0.147803319039161 0.0290129269734992,1.04088873214657 0.200004839596469 0.0881929826435882
2,64,0.8,1.10637568766874 0.157298782791326 0.0284594891876342,1.26677016875703 0.161065673148616 0.0355651374453638,1.48411373778873 0.232710673673 0.13184211923317
2,64,0.9,1.76392944602134 0.165926630509996 0.028946782855789,1.92305461215065 0.172583256770709 0.0440827785282557,2.24648223038799 0.226155616064656 0.182335144573929
2,128,0,0.00387539068902743 0.0033854549508873 2.64341129961899e-05,0.00532600851464343 0.0242054148688981 0.000611924867237626,0.0281056340400661 0.0453434513381787 0.00283773112973488
2,128,0.1,0.0126587367305779 0.0138488978688507 0.000219553897606408,0.0185695623653907 0.0297848830004308 0.000883915099616023,0.0510402213506169 0.0642822681251527 0.00520733738223053
2,128,0.2,0.0420134275658377 0.031115690713417 0.0014477228311414,0.0649929152360532 0.0391939659029908 0.00153100817601797,0.109928986261203 0.0694963444320731 0.00691989470084547
2,128,0.3,0.12724961006339 0.0614084658831468 0.00396107109786915,0.150323247343952 0.0665536577285124 0.00448824112365854,0.207305893506358 0.091112823860265 0.0133528709338446
2,128,0.4,0.224237731034696 0.0727810192664201 0.00577425422780206,0.259425235397918 0.0750594056475533 0.00577877964104923,0.330695861673922 0.10055177143705 0.018849130598991
2,128,0.5,0.354031390889182 0.0827199884771854 0.00746178362272348,0.414551674611657 0.0839660780537959 0.00837956107227743,0.496662231297463 0.119004006961691 0.028907004382524
2,128,0.6,0.538228763871591 0.0952420460918923 0.0111068459012916,0.607520135620366 0.109624570746627 0.0125345479924092,0.701822587095365 0.133121596846314 0.0372008299707657
2,128,0.7,0.800272449668857 0.105210491232122 0.0129310641739595,0.864658832995355 0.112927311289506 0.0131311986672668,0.969758199345682 0.141806757069264 0.0421577215976691
2,128,0.8,1.19700266894551 0.109231266050612 0.0151965317373471,1.2636358741156 0.123261298973565 0.0153219093383885,1.40257586072936 0.160004378113402 0.0645352161543427
2,128,0.9,1.84783722126922 0.116828258423511 0.0142238063563425,1.90909102943159 0.136029201403641 0.0197376744255059,2.17044997915839 0.164705462989486 0.10907296854027
2,256,0,0.00256661675782116 0.00208132307847652 1.09020997154994e-05,-0.0136512648460384 0.0133877023673586 0.000364870684274955,0.0150809803468178 0.0256457018319222 0.000882507182583153
2,256,0.1,0.0158969484240906 0.0189155116273411 0.000511580961920106,0.00184338856013461 0.0225653476740727 0.000617401487022369,0.0362434301874796 0.03148897740734 0.00132041222037277
2,256,0.2,0.0952227276834301 0.0293110163371254 0.00104070196568981,0.0503984254702097 0.0617592215305087 0.00477380336227186,0.0981783218346336 0.0477549826498789 0.00343957389785047
2,256,0.3,0.202847708604367 0.0411226972915765 0.00179255395015682,0.125596057355391 0.0436233632827703 0.00636400197845852,0.180732373372316 0.0542111435289642 0.00492807791790734
2,256,0.4,0.302175363903862 0.0479531802984551 0.0023573681886264,0.242838581468181 0.0482970971533443 0.00653813753073409,0.308433241912342 0.0678810346052399 0.00969211156974858
2,256,0.5,0.43132372637209 0.0556509854127589 0.00376597203136582,0.391425779934165 0.059246996644266 0.0062570062011395,0.453264471229933 0.0757243237733705 0.0118365639749915
2,256,0.6,0.600669839160334 0.0616033170720478 0.00467370507148662,0.591898432599461 0.0689704727443085 0.00623325486681717,0.655545776727053 0.0759216727933724 0.0144918563416126
