pat,n,rho,fmi,emi,jmi
1,256,0.2,0.105036152500255 0.0324916215283455 0.00107347873683198,0.0633507417774708 0.0472202597399153 0.00435462073306348,0.187843495418107 0.104197306651689 0.0274639770803891
1,256,0.3,0.159927341393985 0.0377680806481267 0.00148353330310756,0.127518064177375 0.0486282157388646 0.0039722010735852,0.312642700300078 0.107805408593562 0.04879679164083
1,256,0.4,0.227932678234416 0.0453456313765469 0.00218359310725655,0.209122809569851 0.0569102438577993 0.00414895324615051,0.462730095688278 0.119113970417491 0.0844238426125349
1,256,0.5,0.308906547216031 0.0523064377354179 0.00278149518218704,0.301035018559748 0.0611181901065578 0.00395335891315668,0.608736198060671 0.122761745950007 0.114166335401428
1,256,0.6,0.416090468235877 0.0560448436052122 0.00322547618721828,0.422864712644388 0.06637839647908 0.00440484833653198,0.77383321475122 0.120139386016104 0.144360477367678
1,256,0.7,0.559246622883262 0.0581071982173167 0.00365558664640337,0.583821969805338 0.0643508677700548 0.00419153461385428,0.974515454284417 0.127466531845908 0.182354494978087
1,256,0.8,0.75349075451189 0.0643334165274241 0.00436638296803927,0.795976032241836 0.0724339010518117 0.00597205899186139,1.22999364891142 0.134371725651807 0.219958208072366
1,256,0.9,1.15144533542522 0.0717339238562464 0.00616627164196144,1.17108621106111 0.0890133353701264 0.00806291114370647,1.64462040419567 0.133422676611209 0.273438202665959
1,512,0,0.0392526767497241 0.0121736214049433 0.000480782868445801,-0.0182450597272557 0.0220512851063438 0.00202605928850991,0.0214511278814192 0.0413356462576189 0.00216536926761693
1,512,0.1,0.0589757581201332 0.0165574554552071 0.000417948260418112,0.00479384628019592 0.025290193981333 0.0024164087927377,0.0726347033368825 0.0621637667400468 0.00697319193418416
1,512,0.2,0.10232212758686 0.0219774940376695 0.000556470195578286,0.050264468976421 0.0303317408610878 0.00280439233866661,0.169152848650064 0.0649764125037789 0.0163710513881078
1,512,0.3,0.156769465409707 0.0265945763173909 0.0007668253650635,0.111966565732245 0.0370549982742906 0.0027389325120699,0.294314312403656 0.0748002124495235 0.0360479253501799
1,512,0.4,0.225943376066017 0.0291641020245785 0.000909467440231667,0.189870247142343 0.0386128364887879 0.00228812404653242,0.427202422135534 0.0818735293518102 0.0593812590802372
1,512,0.5,0.316365509349445 0.0352918719721409 0.00126065886842132,0.289694085664084 0.0435240201594331 0.00239555038472936,0.572380192870439 0.0915240259035807 0.0859148254492069
1,512,0.6,0.421424597225377 0.0359758940758344 0.00132065306340726,0.407956291258712 0.0435124907351113 0.00195492242430763,0.737776225043618 0.0817410654786169 0.111927565613716
1,512,0.7,0.564081052582636 0.0408278040212219 0.00169350628212217,0.561442718200235 0.0491688767957095 0.00242076659905421,0.946891205393653 0.0964053090808206 0.153658378167825
1,512,0.8,0.763052123753265 0.0429891570213233 0.00188971139447681,0.77388441376838 0.0503645039306033 0.00284006677129597,1.20162981865854 0.105770216082298 0.188415995115863
1,512,0.9,1.1089744826647 0.0469180976094499 0.00221036625296931,1.13531110127989 0.0545855728619389 0.00387395803660809,1.58519187394655 0.0624496662544576 0.202997176957731
2,128,0,0.0496581952263156 0.0314193143835511 0.00102332601809464,0.00617471038955533 0.0418523569651413 0.00421405289710541,0.0807906609653109 0.13319093906253 0.0242314774950736
2,128,0.1,0.0437616257999439 0.0311311318280115 0.000990660137115309,0.00986779768340802 0.0389105690309154 0.0030115174861067,0.0830124798891266 0.123596850732886 0.0213276499751821
2,128,0.2,0.0441518514819237 0.0342560137693465 0.00120516598316693,0.0145767490000686 0.0369380776165025 0.00192532089402733,0.114241366461018 0.138354494307562 0.0279078203472864
2,128,0.3,0.051711595451435 0.0399187641810503 0.00179257603955796,0.0326601575091809 0.0421351077846744 0.00180043102605251,0.171142667337342 0.144501127928198 0.036211672226393
2,128,0.4,0.0640068190694928 0.0438881016682992 0.00275877779197153,0.0541971640359676 0.0471846106528017 0.00300996250555455,0.274946196895947 0.15974101328436 0.0607235433208394
2,128,0.5,0.0932660329427068 0.0505251568057192 0.00479589581583652,0.0964257440878625 0.0553579829262415 0.00561620821820872,0.381282733048501 0.158483140813428 0.0814452315002454
2,128,0.6,0.142933633365659 0.0610380200332606 0.00833105714583094,0.15522544963263 0.069476035728259 0.0112508966387465,0.511998847039469 0.17011359044753 0.112318138256167
2,128,0.7,0.235551552363429 0.0709233673088917 0.0124986544072825,0.250193431675955 0.0823376143869605 0.0169913246540266,0.674042263699185 0.175311646241955 0.14449121313524
2,128,0.8,0.398867515801576 0.0832926899403783 0.0173574868331901,0.408680188331601 0.099323754242632 0.0223800956795086,0.887286718678422 0.172709425418697 0.171491844519866
2,128,0.9,0.685924289697789 0.0969380938119923 0.0201474684108021,0.726590517928022 0.0990010264714059 0.0306448939430551,1.2376260597038 0.16932295706176 0.194474002520527
2,256,0,0.0431571341104139 0.0201058035561649 0.000446936224689108,-0.00659555719581704 0.0300297523349486 0.00276252067787201,0.0430560154251692 0.0803778530492827 0.00830149852658287
2,256,0.1,0.0387581091466292 0.0217404264781524 0.000527860919981975,-0.00246883426279605 0.0282991879915943 0.00193715367624541,0.057108981399195 0.0848512979658758 0.00989806690679323
2,256,0.2,0.041282773183638 0.0229074675874803 0.00083793882184528,0.00268428705444191 0.0326335614491936 0.0014984504643938,0.100429763808728 0.100904896714015 0.0165644375844637
2,256,0.3,0.0487566283353122 0.0247273914620304 0.00101809371796082,0.0175486612962803 0.0318992903091239 0.00148677640894996,0.168718072720675 0.111195541886072 0.0271172176890621
2,256,0.4,0.061487730892289 0.0287255428008442 0.00197535074387107,0.0350442522381747 0.0363051520920704 0.00354129793505,0.251930147552643 0.110601830028261 0.0393519998744129
2,256,0.5,0.0909703919127774 0.0341638734050709 0.00458937413567079,0.0740877370214145 0.0423988730328536 0.00603035865545472,0.349557029605182 0.119210354026183 0.0565017562220627
2,256,0.6,0.146273516759215 0.0386781909488834 0.00803971414875572,0.135518875006979 0.046205864347177 0.0091710943481151,0.495400016327428 0.125726277173628 0.0898990653198896
2,256,0.7,0.224650073261432 0.0445741242094935 0.0140024361776242,0.227038534865587 0.0485282221840772 0.0148992524196212,0.643871515636747 0.13298911106991 0.112022103901006
2,256,0.8,0.379625866399669 0.0566161162175154 0.0177532806194687,0.390184392119656 0.0640201463132302 0.0213037583086811,0.868159297775462 0.128827543275004 0.144250697415567
2,256,0.9,0.711576696471047 0.0628570504465096 0.0206691385537429,0.701036442814735 0.0919824148362192 0.0225546475217717,1.22935300087383 0.138388109504761 0.178303909648899
2,512,0,0.0371602968139133 0.0131685651814211 0.000542557724860036,-0.0192222121032043 0.0203604018019597 0.00179460452891231,0.0222883901002826 0.0404171924028027 0.00212705467610409
2,512,0.1,0.0365798978389284 0.0130005816920571 0.000600802847561586,-0.0157624667024803 0.0219220812073517 0.00147531746900328,0.0382437799908132 0.0498485779179466 0.00358338714646339
2,512,0.2,0.0362107877503518 0.0142893746341125 0.000656910300101494,-0.0103303867410226 0.0202013144814904 0.00114881054528532,0.0821347019426047 0.062197095082002 0.00767055739909596
2,512,0.3,0.0438935038233425 0.0163168752337376 0.00051265805693554,0.00305055972920402 0.0224282084099885 0.00221093955597297,0.148941988710114 0.0710125085205808 0.0153932127231096
2,512,0.4,0.0607559559957639 0.0193309329865377 0.00135163737121855,0.0262983284123099 0.0255908534575743 0.00407911294475365,0.241465345114174 0.0810679427367946 0.0303638553114793
