sampsize,val_tau,name,value,family,type
256,0.1,pow.gauss.fmi,0.5454545454545454,Gauss,fmi
256,0.1,pow.gauss.jmi,0.13333333333333333,Gauss,jmi
256,0.1,pow.gauss.emi,0.23030303030303031,Gauss,emi
256,0.1,pow.gumbel.fmi,0.6303030303030303,Gumbel,fmi
256,0.1,pow.gumbel.jmi,0.13333333333333333,Gumbel,jmi
256,0.1,pow.gumbel.emi,0.24848484848484848,Gumbel,emi
256,0.1,pow.clayton.fmi,0.5575757575757576,Clayton,fmi
256,0.1,pow.clayton.jmi,0.16363636363636364,Clayton,jmi
256,0.1,pow.clayton.emi,0.30303030303030304,Clayton,emi
256,0.15,pow.gauss.fmi,0.9333333333333333,Gauss,fmi
256,0.15,pow.gauss.jmi,0.2727272727272727,Gauss,jmi
256,0.15,pow.gauss.emi,0.6060606060606061,Gauss,emi
256,0.15,pow.gumbel.fmi,0.9575757575757575,Gumbel,fmi
256,0.15,pow.gumbel.jmi,0.30303030303030304,Gumbel,jmi
256,0.15,pow.gumbel.emi,0.6484848484848484,Gumbel,emi
256,0.15,pow.clayton.fmi,0.896969696969697,Clayton,fmi
256,0.15,pow.clayton.jmi,0.45454545454545453,Clayton,jmi
256,0.15,pow.clayton.emi,0.7515151515151515,Clayton,emi
256,0.2,pow.gauss.fmi,1,Gauss,fmi
256,0.2,pow.gauss.jmi,0.6,Gauss,jmi
256,0.2,pow.gauss.emi,0.8787878787878788,Gauss,emi
256,0.2,pow.gumbel.fmi,1,Gumbel,fmi
256,0.2,pow.gumbel.jmi,0.6727272727272727,Gumbel,jmi
256,0.2,pow.gumbel.emi,0.9272727272727272,Gumbel,emi
256,0.2,pow.clayton.fmi,1,Clayton,fmi
256,0.2,pow.clayton.jmi,0.8121212121212121,Clayton,jmi
256,0.2,pow.clayton.emi,0.9454545454545454,Clayton,emi
256,0.25,pow.gauss.fmi,1,Gauss,fmi
256,0.25,pow.gauss.jmi,0.9333333333333333,Gauss,jmi
256,0.25,pow.gauss.emi,0.9878787878787879,Gauss,emi
256,0.25,pow.gumbel.fmi,1,Gumbel,fmi
