"","pat","n","rho","true","fmi","jmi","emi"
"27",4,512,0,0,0.0200432159587458,0.00118328437467053,-0.0166622691264076
"28",4,512,0,0,0.00730737036590751,0.0279221390521652,-0.0350663329974731
"29",4,512,0,0,0.0169337601636377,0.00113953132491194,-0.0240076157609107
"30",4,512,0,0,0.0286538107637114,0.028705408991209,-0.0136974043853155
"31",4,512,0,0,0.0495886341875809,0.00101831470878799,-0.0311548072974462
"32",4,512,0,0,0.0107301244979476,0.0088340599719517,-0.0209565099828299
"33",4,512,0,0,0.0354362958217478,0.00109976007171823,-0.00830641972458043
"34",4,512,0,0,0.0273791391398981,0.0010655728263063,-0.0130375288600105
"35",4,512,0,0,0.0129431007779913,0.00122118060089313,-0.0268629698814917
"36",4,512,0,0,0.0099783185920117,0.00207949255809814,-0.0302833401350812
"37",4,512,0,0,0.0394759294754596,0.0960388118466968,-0.0094997808253975
"38",4,512,0,0,0.0027237547826065,0.00117193894587261,-0.0250124522757908
"39",4,512,0,0,0.00498080974765436,0.00970541609695342,-0.0481558677381748
"40",4,512,0,0,0.00026257524359069,0.00494426699863002,-0.0231656581199022
"41",4,512,0,0,0.00767146943779518,0.00113018167823845,-0.0278039503795392
"42",4,512,0,0,0.00233189235999615,0.000909942997336248,-0.0373821244320907
"43",4,512,0,0,0.0105296018486216,0.00113959460697065,-0.0312406411072879
"44",4,512,0,0,0.0408146633149834,0.00215557231853471,-0.0191654330999389
"45",4,512,0,0,0.00130024282232527,0.00127382578802384,-0.022907611772267
"46",4,512,0,0,0.00568872550759408,0.00107044920288004,-0.0358566446126609
"47",4,512,0,0,0.00166156551923968,0.0951986735398541,-0.0331150528837476
"48",4,512,0,0,0.0233408066900902,0.020463900630601,-0.0137868761280375
"49",4,512,0,0,0.0154240208549094,0.000904942927575046,-0.0341523818340174
"50",4,512,0,0,0.0260822502203937,0.0495091912394997,-0.034942057644432
"51",4,512,0,0,0.014639331449782,0.00320788512184256,-0.01549949045652
"52",4,512,0,0,0.00853158734536819,0.00119433233756074,-0.0419268814485466
"53",4,512,0,0,0.0242005416509455,0.00121746386036095,-0.00376649355782152
"54",4,512,0,0,0.0192480677956609,0.0131614648025333,-0.0306285456928398
"55",4,512,0,0,0.0163583143878291,0.00112880120177379,-0.0227426779599484
"56",4,512,0,0,0.0392390767677993,0.0678417182810433,-0.0238227424391893
"57",4,512,0,0,0.00377733161414834,0.00111449143981101,-0.0182897562323975
"58",4,512,0,0,0.00753006832116054,0.0174548638137467,-0.0254624475724405
"59",4,512,0,0,0.010492797648131,0.00116108712622702,-0.014823425274119
